"Tipo","Minimo","1_quartil","Mediana","3_quartil","Maximo"
"Temperatura","25,55","29,05","29,05","34,05","34,05"
"Umidade","47,0","69,0","69,0","87,0","87,0"
"Velocidade do Vento","0,0","0,0","0,0","2,6","2,6"
"Direção do Vento","0,0","0,0","0,0","270,0","270,0"
"Chuva","0,0","0,0","0,0","0,0","0,0"
