Data;Hora (UTC);Temp. [Hora] (K);Umi. (%);Pressao (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Nebulosidade (Decimos);Insolacao (h);Temp. Max. [Diaria] (h);Temp. Min. [Diaria] (h);Chuva [Diaria] (mm)
01/11/2023;0000;500;90;921,8;0;0;7;0,5;295,85;;
01/11/2023;1200;294,45;83;927,6;1,6;140;10;;;290,75;15,4
01/11/2023;1800;295,55;76;923,9;3,3;180;10;;;;
02/11/2023;0000;291,15;86;924,3;1,6;180;10;0,3;296,05;;
02/11/2023;1200;292,55;81;925;1,6;140;10;;;290,15;0
02/11/2023;1800;295,15;76;922,4;1,6;140;10;;;;
