"Data";"Hora (UTC)";"Temp. Ins. (C)";"teste";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/11/2023";"0000";"20,7";"20,7";"20,2";"87,0";"87,0";"86,0";"18,4";"18,4";"17,8";"923,0";"923,0";"922,8";"1,0";"80,0";"3,2";"";"0,0"
"01/11/2023";"0100";"20,7";"20,8";"20,7";"85,0";"87,0";"85,0";"18,1";"18,4";"18,1";"923,4";"923,5";"922,8";"0,7";"180,0";"3,7";"";"0,0"
"01/11/2023";"0200";"20,6";"20,7";"20,4";"86,0";"86,0";"85,0";"18,2";"18,2";"18,0";"923,5";"923,5";"923,3";"0,5";"148,0";"3,4";"";"0,0"
"01/11/2023";"0300";"20,4";"20,6";"20,3";"86,0";"86,0";"85,0";"18,0";"18,2";"17,9";"923,1";"923,5";"923,1";"0,8";"117,0";"2,9";"";"0,0"
"01/11/2023";"0400";"20,2";"20,4";"20,1";"86,0";"87,0";"86,0";"17,8";"18,0";"17,7";"922,8";"923,1";"922,8";"0,6";"158,0";"1,9";"";"0,0"
